"id","title","district_id","region_id"
43,Натырбово,2,1
44,Новоалексеевский,2,1
45,Отрадный,2,1
46,Плодопитомник,2,1
47,Политотдел,2,1
48,Хачемзий,2,1
49,Ходзь,2,1
50,Чехрак,2,1
51,Шелковников,2,1
52,Адамий,3,1
53,Александровка,3,1
54,Апухтин,3,1
55,Арнаутово,3,1
56,Бабкино,3,1
57,Бахтиярово,3,1
58,Белое,3,1
59,Бжедугхабль,3,1
60,Бирюч,3,1
61,Богурсуков,3,1
62,Бодяково,3,1
63,Большебыково,3,1
64,Большесидоровское,3,1
65,Борисовка,3,1
66,Валуй,3,1
67,Валуйчик,3,1
69,Верхненазаровское,3,1
70,Верхняя Покровка,3,1
71,Верхососна,3,1
72,Веселое,3,1
73,Владимировка,3,1
74,Водный,3,1
75,Вознесенка,3,1
76,Высокий,3,1
77,Горный,3,1
78,Горовое,3,1
79,Грачевка,3,1
81,Гремучий,3,1
82,Джамбечий,3,1
83,Дмитриевское,3,1
84,Добровольный,3,1
85,Догужиев,3,1
86,Долинск,3,1
87,Донское,3,1
88,Дрыгин Сад,3,1
89,Евсеев,3,1
90,Ездоцкий,3,1
91,Еленовское,3,1
92,Ендовицкий,3,1
93,Ермаково,3,1
94,Завальское,3,1
95,Залесово,3,1
96,Засосна,3,1
97,Зерновой,3,1
98,Ибряево,3,1
99,Ивановка,3,1
100,Ильинский,3,1
101,Ишалка,3,1
102,Казацкое,3,1
103,Калиново,3,1
104,Калтан,3,1
105,Карьяпово,3,1
106,Кинзелька,3,1
107,Клинок,3,1
108,Ковалёв,3,1
109,Коломыцево,3,1
111,Комсомолец,3,1
112,Котляров,3,1
113,Кравцов,3,1
114,Красиково,3,1
115,Красногвардейское,3,1
116,Красное,3,1
117,Кристалка,3,1
118,Кулешовка,3,1
119,Кутерля,3,1
120,Ладовская Балка,3,1
121,Лазареново,3,1
122,Лесной,3,1
123,Ливенка,3,1
124,Луговск,3,1
125,Майский,3,1
126,Малиново,3,1
127,Малоалексеевка,3,1
128,Малобыково,3,1
129,Малоленинский,3,1
130,Малоржавец,3,1
131,Малоюлдашево,3,1
132,Марынычев,3,1
133,Марьевка,3,1
134,Медвеженский,3,1
135,Мирный,3,1
136,Набережный,3,1
137,Нижнеильясово,3,1
138,Нижнекристалка,3,1
139,Нижняя Покровка,3,1
140,Никитовка,3,1
141,Николаевский,3,1
142,Никольский,3,1
143,Никольское,3,1
144,Новомирненский,3,1
145,Новомихайловское,3,1
146,Новопетровка,3,1
147,Новосевастопольское,3,1
148,Новохуторное,3,1
149,Новоюласка,3,1
150,Новоюлдашево,3,1
151,Озерки,3,1
152,Остроухово,3,1
153,Отделение 5,3,1
154,Палатовка-Вторая,3,1
155,Палатово,3,1
156,Папенков,3,1
157,Перелесок,3,1
158,Петров,3,1
159,Петровское,3,1
160,Петропавловка,3,1
161,Плешаново,3,1
162,Плюхино,3,1
163,Подгорское,3,1
164,Подлес,3,1
165,Подольск,3,1
166,Покровка,3,1
167,Покровское,3,1
168,Попасное,3,1
210,Хуторцы,3,1
169,Преградное,3,1
170,Преображенка,3,1
171,Преображенское,3,1
172,Привольное,3,1
173,Прилепы,3,1
174,Пролетарка,3,1
175,Пролетарский,3,1
176,Прудки,3,1
177,Пустосёлов,3,1
178,Пушкинский,3,1
179,Раздорное,3,1
180,Редкодуб,3,1
181,Репенка,3,1
182,Родыки,3,1
183,Садки,3,1
184,Садовое,3,1
185,Самарино,3,1
186,Саратовский,3,1
187,Свердловский,3,1
188,Свободный,3,1
189,Солдатка,3,1
190,Сорокино,3,1
191,Среднеильясово,3,1
192,Средний,3,1
193,Старобогдановка,3,1
194,Старокожево,3,1
195,Староникольское,3,1
196,Староюлдашево,3,1
197,Степной,3,1
198,Стрелецкое,3,1
199,Терешков,3,1
200,Токское,3,1
201,Уляп,3,1
202,Ураково,3,1
203,Утеево,3,1
204,Уточка,3,1
205,Учкаин,3,1
206,Филькино,3,1
207,Фощеватый,3,1
208,Фрунзенский,3,1
209,Хатукай,3,1
211,Черменевка,3,1
212,Чумаков,3,1
213,Штурбино,3,1
214,Штурм,3,1
215,Юговка,3,1
216,Южный,3,1
217,Юлты,3,1
218,Юринский,3,1
219,Юрков,3,1
220,Яиково,3,1
221,Ямки,3,1
222,Ясенев,3,1
223,Яшкино,3,1
224,"17 лет Октября",4,1
225,Абадзехская,4,1
226,Безводная,4,1
227,Весёлый,4,1
228,Вольный,4,1
229,Гражданский,4,1
230,Грозный,4,1
231,Гузерипль,4,1
232,Дагестанская,4,1
233,Даховская,4,1
234,ДНТ «Автомобилист»,4,1
235,ДНТ «Бытовик»,4,1
236,Дьяков,4,1
237,Калинин,4,1
238,Каменномостский,4,1
239,Кармир-Астх,4,1
240,Коминтерн,4,1
241,Красная Улька,4,1
242,Краснооктябрьский,4,1
243,Красный Мост,4,1
244,Кужорская,4,1
245,Курджипская,4,1
310,СНТ «Имени Хуаде»,5,1
246,Мафэхабль,4,1
247,Махошеполяна,4,1
248,Меркулаевка,4,1
249,Мирный,4,1
250,Мичурина,4,1
251,Никель,4,1
252,Новопрохладное,4,1
253,Новосвободная,4,1
254,Октябрьский,4,1
255,Первомайский,4,1
256,Победа,4,1
257,Подгорный,4,1
258,Приречный,4,1
259,Причтовский,4,1
260,Пролетарский,4,1
261,Садовый,4,1
262,Севастопольская,4,1
263,Северо-Восточные Сады,4,1
264,СНТ «Радуга»,4,1
427,Чернышевский,10,2
265,Советский,4,1
266,Совхозный,4,1
267,Спокойный,4,1
268,Табачный,4,1
269,Тимирязева,4,1
270,Ткачёв,4,1
271,Трёхречный,4,1
272,Тульский,4,1
273,Удобный,4,1
274,Усть-Сахрай,4,1
275,Хакодзь,4,1
276,Хамышки,4,1
277,Цветочный,4,1
278,Шаумян,4,1
279,Шевченко,4,1
280,Шунтук,4,1
281,Апостолиди,5,1
282,Афипсип,5,1
283,ДНТ «Строитель»,5,1
284,Дружный,5,1
285,Козет,5,1
286,Красноармейский,5,1
287,Кубаньстрой,5,1
288,Натухай,5,1
289,Новая Адыгея,5,1
290,Новобжегокай,5,1
291,Новомогилёвский,5,1
292,Новый,5,1
293,Новый Сад,5,1
294,Отрадный,5,1
295,Панахес,5,1
296,Перекатный,5,1
476,Ландман,11,2
297,Прикубанский,5,1
298,Псейтук,5,1
299,СНТ «Водхозовец»,5,1
300,СНТ «Восход 2»,5,1
301,СНТ «Восход»,5,1
302,СНТ «Дорожник»,5,1
303,СНТ «Закубанские Сады 2»,5,1
304,СНТ «Закубанские Сады»,5,1
305,СНТ «Заречное»,5,1
306,СНТ «Заря»,5,1
307,СНТ «Звёздочка»,5,1
308,СНТ «Здоровье»,5,1
309,СНТ «Зори Кубани»,5,1
311,СНТ «Кубань»,5,1
312,СНТ «Мелиоратор»,5,1
313,СНТ «Первомаец»,5,1
314,СНТ «Прогресс»,5,1
315,СНТ «Рассвет» (рыбсовхоз),5,1
316,Старобжегокай,5,1
317,Старомогилёвский,5,1
318,Суповский,5,1
319,Супс,5,1
320,Тахтамукай,5,1
321,Хаштук,5,1
322,Хомуты,5,1
323,Шенджий,5,1
324,Энем,5,1
325,Яблоновский,5,1
326,Ассоколай,6,1
327,Вочепший,6,1
328,Габукай,6,1
329,Городской,6,1
330,Джиджихабль,6,1
331,Казазов,6,1
332,Колос,6,1
333,Кочкин,6,1
334,Красненский,6,1
335,Красное,6,1
336,Кунчукохабль,6,1
337,Начерезий,6,1
338,Нешукай,6,1
339,Нововочепший,6,1
340,Петров,6,1
341,Понежукай,6,1
490,Никольское,11,2
342,Пчегатлукай,6,1
343,Пшикуйхабль,6,1
344,Тауйхабль,6,1
345,Тлюстенхабль,6,1
346,Тугургой,6,1
347,Чабанов,6,1
348,Четук,6,1
349,Шевченко,6,1
350,Шундук,6,1
351,Весёлый,7,1
352,Джерокай,7,1
353,Дорошенко,7,1
354,Дукмасов,7,1
355,Задунаевский,7,1
356,Зарево,7,1
357,Кабехабль,7,1
358,Касаткин,7,1
359,Келеметов,7,1
360,Киров,7,1
361,Лейбоабазов,7,1
362,Лесхозный,7,1
363,Мамацев,7,1
477,Лаптиха,11,2
364,Мамхег,7,1
365,Михайлов,7,1
366,Мокроназаров,7,1
367,Новорусов,7,1
368,Орехов,7,1
369,Пентюхов,7,1
370,Пикалин,7,1
371,Пшизов,7,1
372,Пшичо,7,1
373,Свободный Труд,7,1
374,Семёно-Макаренский,7,1
375,Тихонов,7,1
376,Ульский,7,1
377,Хакуринохабль,7,1
378,Хапачёв,7,1
379,Хатажукай,7,1
380,Чернышёв,7,1
381,Чикалов,7,1
382,Адыгейск,8,1
383,Весёлый,9,1
384,Майкоп,9,1
385,"347 км",10,2
386,"363 км",10,2
387,Алейск,10,2
388,Алейский,10,2
389,Александровский,10,2
390,Безголосово,10,2
391,Берёзовский,10,2
392,Большепанюшево,10,2
471,Кремнюха,11,2
393,Бориха,10,2
394,Боровское,10,2
395,Вавилон,10,2
478,Ленинск,11,2
396,Ветёлки,10,2
397,Дружба,10,2
398,Дубровский,10,2
399,Заветы Ильича,10,2
400,Зелёная Поляна,10,2
401,Кабаково,10,2
402,Кашино,10,2
403,Кировское,10,2
404,Кондратьевский,10,2
405,Краснодубровский,10,2
406,Красный Яр,10,2
407,Малахово,10,2
408,Малиновка,10,2
409,Мамонтовский,10,2
410,Моховское,10,2
411,Новоколпаково,10,2
412,Новоникольский,10,2
413,Октябрьский,10,2
414,Осколково,10,2
415,Первомайский,10,2
416,Плотава,10,2
417,Приятельский,10,2
418,Савинка,10,2
419,Серебренниково,10,2
420,Совхозный,10,2
421,Солнечный,10,2
422,Толстая Дуброва,10,2
423,Троицкий,10,2
424,Уржум,10,2
425,Урюпино,10,2
426,Успеновка,10,2
428,Язевка-Сибирская,10,2
429,Александровка,11,2
430,Алтай,11,2
431,Алтайка,11,2
479,Лесная Пристань,11,2
432,Алтайское,11,2
433,Алтынсай,11,2
434,Андреевка,11,2
435,Ая,11,2
436,Басаргино,11,2
437,Баяновск,11,2
438,Бедаревка,11,2
439,Белое,11,2
440,Беляковка,11,2
1097,Москово,193,6
441,Берёзовка,11,2
442,Березовский,11,2
443,Бобровка,11,2
444,Богатырево,11,2
445,Большая Кыркыла,11,2
446,Большая речка,11,2
447,Бородино,11,2
448,Булатово,11,2
449,Булухта,11,2
450,Бурнашево,11,2
451,Быково,11,2
452,Васильевка,11,2
453,Верх-Ая,11,2
454,Вороний,11,2
455,Восточное,11,2
456,Голубой Залив,11,2
457,Греховка,11,2
458,Даниловка,11,2
459,Дородница,11,2
460,Ермакова,11,2
461,Ерофеевка,11,2
462,Заводинка,11,2
463,Зубовка,11,2
464,Казанка,11,2
465,Катунь,11,2
466,Кировское,11,2
467,Козлушка,11,2
468,Комар,11,2
469,Кондратьево,11,2
470,Красный алтай,11,2
472,Крестовка,11,2
473,Кутиха,11,2
474,Куяган,11,2
475,Куяча,11,2
480,Ляпуновка,11,2
481,Макарьевка,11,2
482,Малеевск,11,2
483,Маяк,11,2
484,Мироновка,11,2
485,Мякотиха,11,2
486,Нижнебыково,11,2
487,Нижнекаменка,11,2
488,Нижнекаянча,11,2
489,Никольск,11,2
1700,Крапивное,241,8
491,Новая Бухтарма,11,2
492,Ново-Крестьянка,11,2
493,Новокалиновск,11,2
494,Октябрьский,11,2
495,Орловка,11,2
496,Осиновка,11,2
497,Парыгино,11,2
498,Пещера,11,2
499,Подорленок,11,2
500,Подсинее,11,2
501,Полянское,11,2
502,Прибрежный,11,2
503,Принск,11,2
504,Пролетарка,11,2
505,Путинцево,11,2
506,Россоши,11,2
507,Рудник,11,2
508,Сажаевка,11,2
509,Сараса,11,2
510,Северное,11,2
511,Серебрянск,11,2
512,Снегирёво,11,2
513,Соловьёво,11,2
514,Средигорное,11,2
515,Старобелокуриха,11,2
516,Столбоуха,11,2
517,Теплый ключ,11,2
518,Тоурак,11,2
519,Троеглазовка,11,2
520,Тургусун,11,2
521,Усть-игнашиха,11,2
522,Феклистовка,11,2
523,Чапаево,11,2
524,Чекеев Ключ,11,2
525,Черемушки,11,2
526,Черемшанка,11,2
527,Чистополька,11,2
528,Шагалиха,11,2
529,Шириккаыйн,11,2
530,Шумовск,11,2
531,Якипецкого,11,2
569,Зональное,25,2
532,Баево,12,2
533,Бийск,13,2
534,Благовещенка,14,2
535,Бурла,15,2
536,Быстрый Исток,16,2
537,Волчиха,17,2
538,Новоегорьевское,18,2
539,Ельцовка,19,2
540,Завьялово,20,2
541,Залесово,21,2
542,Заринск,22,2
543,Сибирский,23,2
544,Андреевский,24,2
545,Барановка,24,2
546,Берёзовка,24,2
547,Беспаловский,24,2
548,Варшава,24,2
549,Воронеж,24,2
550,Гальцовка,24,2
551,Змеиногорск,24,2
552,Карамышево,24,2
553,Красногвардейский,24,2
554,Кузьминка,24,2
555,Лазурка,24,2
556,Локоток,24,2
557,Никольск,24,2
558,Новокузнецовка,24,2
559,Новохарьковка,24,2
560,Октябрьский,24,2
561,Отрада,24,2
562,Предгорный,24,2
563,Рязановка,24,2
564,Саввушка,24,2
565,Таловка,24,2
566,Тушканиха,24,2
567,Утка,24,2
568,Черепановский,24,2
570,Калманка,26,2
571,Камень-на-Оби,27,2
572,Ключи,28,2
573,Косиха,29,2
574,Красногорское,30,2
575,Краснощёково,31,2
576,Крутиха,32,2
577,Кулунда,33,2
578,Курья,34,2
579,Кытманово,35,2
580,Александровка,36,2
581,Антошиха,36,2
582,Вторая Каменка,36,2
583,Георгиевка,36,2
584,Гилёво,36,2
585,Горняк,36,2
586,Ермошиха,36,2
587,Золотуха,36,2
588,Кировский,36,2
589,Кучеровка,36,2
590,Локоть,36,2
591,Масальский,36,2
592,Междуречье,36,2
593,Мирный,36,2
594,Николаевка,36,2
595,Новенькое,36,2
596,Новомихайловка,36,2
597,Павловка,36,2
598,Покровка,36,2
599,Раздольное,36,2
600,Ремовский,36,2
601,Самарка,36,2
602,Советский Путь,36,2
603,Степной,36,2
604,Успенка,36,2
1933,Шкрябино,251,8
605,Устьянка,36,2
606,Мамонтово,37,2
607,Михайловское,38,2
608,Александровка,39,2
609,Гальбштадт,39,2
610,Гришковка,39,2
611,Дворское,39,2
612,Дегтярка,39,2
613,Камыши,39,2
614,Красноармейский,39,2
615,Кусак,39,2
616,Лесное,39,2
617,Николаевка,39,2
618,Орлово,39,2
619,Подсосново,39,2
620,Полевое,39,2
621,Протасово,39,2
622,Редкая Дубрава,39,2
623,Шумановка,39,2
624,Новичиха,40,2
625,Павловск,41,2
691,Гудачи,87,3
626,Панкрушиха,42,2
627,Новоалтайск,43,2
628,Петропавловское,44,2
629,Поспелиха,45,2
630,Ребриха,46,2
631,Родино,47,2
632,Романово,48,2
633,Аксёновка,49,2
634,Безрукавка,49,2
635,Берёзовка,49,2
636,Бобково,49,2
637,Веселоярск,49,2
638,Вишнёвка,49,2
639,Вымпел,49,2
640,Дальний,49,2
641,Зелёная Дубрава,49,2
642,Катково,49,2
643,Колос,49,2
644,Куйбышево,49,2
645,Мамонтово,49,2
646,Мичуринский,49,2
647,Новоалександровка,49,2
648,Новороссийский,49,2
649,Новосклюиха,49,2
650,Половинкино,49,2
651,Приозёрный,49,2
652,Романовка,49,2
653,Рубцовск,49,2
654,Саратовка,49,2
655,Тишинка,49,2
656,Смоленское,50,2
657,Советское,51,2
658,Солонешное,52,2
659,Солтон,53,2
660,Верх-Суетка,54,2
661,Табуны,55,2
662,Тальменка,56,2
663,Тогул,57,2
664,Топчиха,58,2
665,Староалейское,59,2
666,Троицкое,60,2
667,Тюменцево,61,2
800,Джамба,137,5
668,Угловское,62,2
669,Усть-Калманка,63,2
670,Усть-Чарышская Пристань,64,2
671,Хабары,65,2
672,Целинное,66,2
673,Тулата,67,2
674,Чарышское,67,2
675,Шелаболиха,68,2
676,Шипуново,69,2
677,Барнаул,71,2
678,Белокуриха,72,2
679,Славгород,77,2
680,Яровое,78,2
681,Архара,79,3
682,Белогорск,80,3
683,Благовещенск,81,3
684,Новобурейский,82,3
685,Завитинск,83,3
686,Зея,84,3
687,Ивановка,85,3
688,Константиновка,86,3
689,Апрельский,87,3
690,Гонжа,87,3
692,Дактуй,87,3
693,Кислый Ключ,87,3
694,Красная Падь,87,3
695,Кузнецово,87,3
696,Магдагачи,87,3
697,Пионер,87,3
698,Сиваки,87,3
699,Сулус,87,3
700,Толбузино,87,3
701,Тыгда,87,3
702,Тымерсоль,87,3
703,Ушумун,87,3
704,Чалганы,87,3
705,Черняево,87,3
706,Новокиевский Увал,88,3
707,Поярково,89,3
708,Екатеринославка,90,3
709,Ромны,91,3
710,Свободный,92,3
711,Экимчан,93,3
712,Серышево,94,3
713,Сковородино,95,3
714,Тамбовка,96,3
715,Тында,97,3
716,Шимановск,98,3
717,Прогресс,102,3
718,Райчихинск,103,3
719,Вельск,107,4
720,Верхняя Тойма,108,4
721,Ильинско-Подомское,109,4
722,Березник,110,4
723,Мирный,111,4
753,Кочевая,133,5
724,Каргополь,112,4
725,Коноша,113,4
726,Котлас,114,4
727,Красноборск,115,4
728,Яренск,116,4
729,Лешуконское,117,4
730,Долгощелье,118,4
731,Затон,118,4
837,Оля,140,5
732,Каменка,118,4
733,Кимжа,118,4
734,Мезень,118,4
735,Няндома,119,4
736,Онега,120,4
737,Карпогоры,121,4
738,Плесецк,122,4
739,Архангельск,123,4
740,Октябрьский,124,4
741,Холмогоры,125,4
742,Шенкурск,126,4
743,Коряжма,128,4
744,Белушья Губа,130,4
745,Новодвинск,131,4
746,Северодвинск,132,4
747,Ахтубинск,133,5
748,Верхний Баскунчак,133,5
749,Дуюнов,133,5
750,Зелёный Сад,133,5
751,Камнев,133,5
752,Корочин,133,5
754,Лопин,133,5
755,Никонов,133,5
756,Садовое,133,5
757,Сокорь,133,5
758,Стасов,133,5
759,Токарев,133,5
760,Удачное,133,5
761,Шунгули,133,5
762,Володарск,134,5
838,Яндыки,140,5
763,Володарский,134,5
764,Гладково,134,5
765,Голышево,134,5
766,Дубки,134,5
767,Зеленга,134,5
768,Золино,134,5
769,Ильина Гора,134,5
770,Ильиногорск,134,5
771,Красная Горка,134,5
772,Маково,134,5
773,Мячково,134,5
774,Новокрасное,134,5
775,Объезд,134,5
776,Охлопково,134,5
777,Решетиха,134,5
778,Седельниково,134,5
779,Смолино,134,5
780,Старая Сейма,134,5
781,Старково,134,5
782,Тишково,134,5
783,Форпост Староватаженский,134,5
784,Фролищи,134,5
785,Чернуха,134,5
786,Щелканово,134,5
787,Ветлянка,135,5
788,Грачи,135,5
789,Енотаевка,135,5
790,Козинка,135,5
791,Копановка,135,5
792,Косика,135,5
793,Ленино,135,5
794,Никольское,135,5
795,Пришиб,135,5
796,Фёдоровка,135,5
797,Знаменск,136,5
798,Алгаза,137,5
799,Восточное,137,5
801,Икряное,137,5
840,Нариманов,141,5
802,Красные Баррикады,137,5
803,Оранжереи,137,5
804,Трудфронт,137,5
805,Хмелевой,137,5
806,Иванчуг,138,5
807,Камызяк,138,5
808,Кировский,138,5
809,Семибугры,138,5
810,Трехизбинка,138,5
811,Тузуклей,138,5
812,Большая Каменка,139,5
813,Водино,139,5
814,Екатериновка,139,5
815,Заря,139,5
816,Кочкари,139,5
817,Краково,139,5
818,Красный Яр,139,5
819,Малая Каменка,139,5
820,Малая Царевщина,139,5
821,Малиновка,139,5
822,Мирный,139,5
823,Михайловка,139,5
824,Новосемейкино,139,5
825,Новый Буян,139,5
826,Орешенка,139,5
827,Старая Бинарадка,139,5
828,Старосемейкино,139,5
829,Старый Буян,139,5
830,Хилково,139,5
831,Хорошенькое,139,5
832,Чапаево,139,5
833,Шилан,139,5
834,железнодорожного разъезда № 6,140,5
835,Зензели,140,5
836,Лиман,140,5
839,Волжское,141,5
841,Солёный,141,5
842,Аннино,142,5
843,Бестужевка,142,5
844,Гаркино,142,5
845,Давыдовка,142,5
846,Екатериновка,142,5
847,Заволжье,142,5
848,Золотая Гора,142,5
849,Ильмень,142,5
850,Кашпир,142,5
851,Началово,142,5
852,Нижнеозерецкий,142,5
853,Нижнепечерское,142,5
854,Новоначаловский,142,5
855,Новоспасский,142,5
856,Обшаровка,142,5
857,Озерецкое,142,5
858,Плёс,142,5
859,Поляна,142,5
860,Приволжск,142,5
861,Приволжье,142,5
862,Садовый,142,5
863,Софьино,142,5
864,Спасское,142,5
865,Сперанка,142,5
866,Степняки,142,5
867,Татарская Башмаковка,142,5
868,Томанский,142,5
869,Три Протока,142,5
870,Тростянка,142,5
871,Федоровка,142,5
872,Вольное,143,5
873,Селитренное,143,5
874,Тамбовка,143,5
875,Харабали,143,5
876,Хошеутово,143,5
1017,Гареевка,175,6
877,Чапчачи,143,5
878,Бундин,144,5
879,Вязовка,144,5
880,Зелёный Сад,144,5
881,Каменный Яр,144,5
882,Нагольный,144,5
883,Поды,144,5
884,Солёное Займище,144,5
885,Солодники,144,5
886,Старица,144,5
887,Чёрный Яр,144,5
888,Астрахань,145,5
889,Аскарово,146,6
890,Раевский,147,6
891,Архангельское,148,6
892,Аскино,149,6
893,Толбазы,150,6
894,Баймак,151,6
895,Бакалы,152,6
896,Старобалтачево,153,6
897,Аделькино,154,6
898,Азекеево,154,6
899,Акбасар,154,6
900,Аккаин,154,6
901,Аксаково,154,6
902,Алексеевка,154,6
903,Анненково,154,6
904,Анновка,154,6
905,Баженово,154,6
906,Баймурзино,154,6
907,Байрак,154,6
908,Белебей,154,6
909,Березовка,154,6
910,Брик-Алга,154,6
911,Булановка,154,6
912,Веровка,154,6
913,Верхнеермолги,154,6
914,Весёлая Роща,154,6
915,Гусаркино,154,6
916,Дурасово,154,6
917,Екатериновка,154,6
918,Елизаветино,154,6
919,Ермолкино,154,6
920,Заовражье,154,6
921,Знаменка,154,6
922,Ик-Вершина,154,6
923,Илькино,154,6
924,Ирек,154,6
925,Исмагилово,154,6
926,Казанлытамак,154,6
927,Каин-Елга,154,6
928,Канаш,154,6
929,Кирилловка,154,6
930,Ключевка,154,6
931,Красная Заря,154,6
932,Красноречка,154,6
933,Краснояр,154,6
934,Кум-Косяк,154,6
935,Куш-Елга,154,6
936,Максютово,154,6
937,Малиновка,154,6
938,Малоалександровка,154,6
939,Мартыново,154,6
940,Междугорное,154,6
941,Метевбаш,154,6
942,Михайловский,154,6
943,Моховое Болото,154,6
944,Мочилки,154,6
945,Надеждино,154,6
946,Новая Деревня,154,6
1018,Ильчибай,175,6
947,Новоказанка,154,6
948,Новониколаевка,154,6
949,Новосараево,154,6
950,Новосеменкино,154,6
951,Орловка,154,6
952,Парафеевка,154,6
953,Пахарь,154,6
954,Подлесное,154,6
955,Покровка,154,6
956,Приютово,154,6
957,Пыжьяновский,154,6
958,Рассвет,154,6
959,Репьевка,154,6
960,Родники,154,6
961,Русская Швейцария,154,6
962,Рябаш,154,6
963,Савкино,154,6
964,санатория Глуховского,154,6
965,Светловка,154,6
966,Свобода,154,6
967,Сердюки,154,6
968,Сиушка,154,6
969,Скобелевка,154,6
970,Слакбаш,154,6
971,Сосновый Бор,154,6
972,станции Глуховская,154,6
973,Старосеменкино,154,6
974,Тузлукуш,154,6
975,Усень-Ивановское,154,6
976,Утейка,154,6
977,Фёдоровка,154,6
978,Центральной усадьбы племзавода имени Максима Горького,154,6
979,Чеганлы,154,6
980,Чермасан,154,6
981,Чубукаран,154,6
982,Шаровка,154,6
983,Шелканово,154,6
984,Янги-Кюч,154,6
985,Новобелокатай,155,6
986,Белорецк,156,6
987,Бижбуляк,157,6
988,Бирск,158,6
989,Языково,159,6
990,Благовещенск,160,6
991,Буздяк,161,6
992,Бураево,162,6
993,Старосубхангулово,163,6
994,Красноусольский,164,6
995,Давлеканово,165,6
996,Месягутово,166,6
997,Дюртюли,167,6
998,Ермекеево,168,6
999,Межгорье,169,6
1000,Исянгулово,170,6
1001,Зилаир,171,6
1002,Иглино,172,6
1003,Верхнеяркеево,173,6
1004,Ишимбай,174,6
1005,Акинеево,175,6
1006,Актуганово,175,6
1007,Александровка,175,6
1008,Амзибаш,175,6
1009,Бабаево,175,6
1010,Барсуково,175,6
1011,Барьяза,175,6
1012,Большекачаково,175,6
1013,Большекуразово,175,6
1014,Большой Кельтей,175,6
1015,Василово,175,6
1016,Верхний Тыхтем,175,6
1019,Калегино,175,6
1020,Калмаш,175,6
1021,Калмиябаш,175,6
1022,Калтасы,175,6
1023,Качкинтурай,175,6
1024,Киебак,175,6
1025,Козлоялово,175,6
1026,Краснохолмский,175,6
1027,Кугарчино,175,6
1028,Кутерем,175,6
1029,Кучаш,175,6
1030,Куяново,175,6
1031,Кырпы,175,6
1032,Надеждино,175,6
1033,Наратово,175,6
1034,Нижний Качмаш,175,6
1035,Новояшево,175,6
1036,Новый Аткуль,175,6
1037,Новый Ашит,175,6
1038,Сазово,175,6
1039,Средний Качмаш,175,6
1040,Старояшево,175,6
1041,Старый Орьебаш,175,6
1042,Султанаево,175,6
1043,Тынбахтино,175,6
1044,Тюльди,175,6
1045,Чумара,175,6
1046,Караидель,176,6
1047,Кармаскалы,177,6
1048,Верхние Киги,178,6
1049,Мраково,179,6
1050,Кушнаренково,180,6
1051,Ермолаево,181,6
1052,Мелеуз,182,6
1053,Большеустьикинское,183,6
1054,Мишкино,184,6
1055,Киргиз-Мияки,185,6
1056,Красная Горка,186,6
1096,Мишкино,193,6
1057,Малояз,187,6
1099,Наурузово,193,6
1058,Стерлибашево,188,6
1059,Стерлитамак,189,6
1060,Верхние Татышлы,190,6
1061,Туймазы,191,6
1062,Уфа,192,6
1063,Абсалямово,193,6
1064,Азнашево,193,6
1065,Ахуново,193,6
1066,Базаргулово,193,6
1067,Байсакалово,193,6
1068,Буйда,193,6
1069,Бурангулово,193,6
1070,Вознесенка,193,6
1071,Галиахмерово,193,6
1072,Ильинка,193,6
